pulse_QP_memory-accounting,@gp-query-processing-team
QP_memory-accounting,@gp-query-processing-team
QP_optimizer-functional,@gp-query-processing-team
QP_runaway-query,@gp-query-processing-team
regression_tests_gpcloud_centos,@gp-unite-team
regression_tests_gphdfs_centos,@gp-unmanaged-data-team
regression_tests_pxf_cdh,@gp-unmanaged-data-team
regression_tests_pxf_cdh,@gp-unmanaged-data-team
regression_tests_pxf_hdp,@gp-unmanaged-data-team
regression_tests_pxf_hdp,@gp-unmanaged-data-team
Release_Candidate,@channel
storage,@gp-catalog-and-storage-team
TINC_pgcrypto,@channel
validate_pipeline,@channel
